"문제","답과 해설 (간단한 HTML 사용 가능)"
"1. setwd('C:/WORK_R')와 getwd()를 설명하시오.","정답: setwd는 작업 디렉터리 변경, getwd는 현재 작업 디렉터리 확인.<br>해설: 파일 입출력의 상대경로 기준점이 작업 디렉터리다."
"2. R 패키지를 설명하고 설치 시 유의점을 쓰시오.","정답 요점:<br>패키지는 함수/데이터/문서를 묶은 재사용 단위(CRAN 배포).<br>유의점: 의존성 충돌, R 버전 호환성, 비공식 배포처 신뢰성 검증."
"3. 1부터 999까지 합의 제곱근을 구하시오.","정답: 약 706.7531<br>해설: sum(1:999)=499500, sqrt(499500)=706.7531."
"4. R 자료구조 6가지(벡터/행렬/배열/데이터프레임/리스트/요인)를 설명하시오.","정답 요약:<br>벡터: 같은 타입 1차원<br>행렬: 같은 타입 2차원<br>배열: 같은 타입 다차원<br>데이터프레임: 열별 타입 허용 표 구조<br>리스트: 서로 다른 타입/구조 포함 가능<br>요인(factor): 범주형 데이터 표현용 특수 벡터"
"5. a <- c(1,2,0.5,3,7,-2,10) 에서 두 번째 원소를 구하는 명령은?","정답: a[2]<br>해설: R 인덱스는 1부터 시작한다."
"6. 54,39.6,51.6,52.8,51.6,52.8,54,52.8,16.8,52.8,52.8,54의 합계/평균/표준편차/최솟값/최댓값","정답: 합계 585.6, 평균 48.8, 표준편차 10.8101, 최솟값 16.8, 최댓값 54"
"7. x <- c(1,2,3,4,5,6,7,8,9)를 아래 형태 행렬 y로 바꾸는 명령은? (1열 1,2,3 / 2열 4,5,6 / 3열 7,8,9)","정답: y <- matrix(x, nrow=3)<br>해설: R matrix는 열 우선(column-major)으로 채운다."
"8. x,y,z 벡터로 df를 생성하시오. (x=1:4, y=red/white/blue/yellow, z=TRUE/TRUE/TRUE/FALSE)","정답: df <- data.frame(x=_x, y=_y, z=_z)<br>해설: 열 길이가 동일해야 데이터프레임 생성 가능."
"9. df의 x열 평균과 합계를 구하시오.","정답: 평균 2.5, 합계 10<br>해설: mean(df$x), sum(df$x)."
"10. df 열 이름을 숫자/색상/논릿값으로 변경하시오.","정답: colnames(df) <- c('숫자','색상','논릿값')"
